mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
202027,27,2020-06-28,2020-07-04,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.07,2025-07-05
201635,35,2016-08-28,2016-09-03,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.09,2025-08-30
202001,1,2019-12-29,2020-01-04,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,45_64,0.03,2025-01-04
202227,27,2022-07-03,2022-07-09,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.1,2025-07-05
202407,7,2024-02-11,2024-02-17,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,All,All,0.01,2025-02-15
201949,49,2019-12-01,2019-12-07,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.07,2024-12-07
202135,35,2021-08-29,2021-09-04,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.09,2025-08-30
201904,4,2019-01-20,2019-01-26,2018-2019,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.1,2025-01-25
201616,16,2016-04-17,2016-04-23,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.07,2025-04-19
202335,35,2023-08-27,2023-09-02,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.04,2025-08-30
201918,18,2019-04-28,2019-05-04,2018-2019,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2025-05-03
201608,8,2016-02-21,2016-02-27,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.08,2025-02-22
202152,52,2021-12-26,2022-01-01,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.18,2024-12-28
202144,44,2021-10-31,2021-11-06,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,White Non-Hispanic,0.13,2024-11-02
202137,37,2021-09-12,2021-09-18,2020-2021,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Age Group,00_04,0.03,2025-09-13
201715,15,2017-04-09,2017-04-15,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.14,2025-04-12
202128,28,2021-07-11,2021-07-17,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,All,All,0.12,2025-07-12
202416,16,2024-04-14,2024-04-20,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2025-04-19
201816,16,2018-04-15,2018-04-21,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.09,2025-04-19
202046,46,2020-11-08,2020-11-14,2020-2021,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,White Non-Hispanic,0.01,2024-11-16
201834,34,2018-08-19,2018-08-25,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.01,2025-08-23
202426,26,2024-06-23,2024-06-29,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.08,2025-06-28
202340,40,2023-10-01,2023-10-07,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-05
201647,47,2016-11-20,2016-11-26,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.1,2024-11-23
201619,19,2016-05-08,2016-05-14,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.02,2025-05-10
202208,8,2022-02-20,2022-02-26,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.07,2025-02-22
201610,10,2016-03-06,2016-03-12,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.07,2025-03-08
202319,19,2023-05-07,2023-05-13,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Hispanic Or Latino,0.11,2025-05-10
201752,52,2017-12-24,2017-12-30,2017-2018,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,45_64,0.02,2024-12-28
201941,41,2019-10-06,2019-10-12,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.02,2024-10-12
201612,12,2016-03-20,2016-03-26,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.1,2025-03-22
202005,5,2020-01-26,2020-02-01,2019-2020,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.07,2025-02-01
202130,30,2021-07-25,2021-07-31,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.1,2025-07-26
202204,4,2022-01-23,2022-01-29,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.09,2025-01-25
202149,49,2021-12-05,2021-12-11,2021-2022,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-12-07
201618,18,2016-05-01,2016-05-07,2015-2016,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,45_64,0.01,2025-05-03
202047,47,2020-11-15,2020-11-21,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.02,2024-11-23
202108,8,2021-02-21,2021-02-27,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.07,2025-02-22
201828,28,2018-07-08,2018-07-14,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.07,2025-07-12
202039,39,2020-09-20,2020-09-26,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.02,2025-09-27
202022,22,2020-05-24,2020-05-30,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.01,2025-05-31
201803,3,2018-01-14,2018-01-20,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,65+,0.04,2025-01-18
202407,7,2024-02-11,2024-02-17,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.02,2025-02-15
202132,32,2021-08-08,2021-08-14,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.02,2025-08-09
201947,47,2019-11-17,2019-11-23,2019-2020,Essence,Influenza-Like Illness,Ili,Admissions,All,All,0.01,2024-11-23
202105,5,2021-01-31,2021-02-06,2020-2021,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2025-02-01
202414,14,2024-03-31,2024-04-06,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.14,2025-04-05
202243,43,2022-10-23,2022-10-29,2022-2023,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-26
201924,24,2019-06-09,2019-06-15,2018-2019,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,05_17,0.03,2025-06-14
202304,4,2023-01-22,2023-01-28,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.11,2025-01-25
202415,15,2024-04-07,2024-04-13,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-04-12
202215,15,2022-04-10,2022-04-16,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,45_64,0.01,2025-04-12
202413,13,2024-03-24,2024-03-30,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-03-29
202417,17,2024-04-21,2024-04-27,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2025-04-26
202204,4,2022-01-23,2022-01-29,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,White Non-Hispanic,0.17,2025-01-25
201811,11,2018-03-11,2018-03-17,2017-2018,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,00_04,0.03,2025-03-15
201606,6,2016-02-07,2016-02-13,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.05,2025-02-08
202245,45,2022-11-06,2022-11-12,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.15,2024-11-09
202023,23,2020-05-31,2020-06-06,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Black Non-Hispanic,0.05,2025-06-07
202151,51,2021-12-19,2021-12-25,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,65+,0.22,2024-12-21
201805,5,2018-01-28,2018-02-03,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,18_44,0.05,2025-02-01
201824,24,2018-06-10,2018-06-16,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2025-06-14
202037,37,2020-09-06,2020-09-12,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.07,2025-09-13
202017,17,2020-04-19,2020-04-25,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.18,2025-04-26
202104,4,2021-01-24,2021-01-30,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.15,2025-01-25
202216,16,2022-04-17,2022-04-23,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2025-04-19
202234,34,2022-08-21,2022-08-27,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,65+,0.05,2025-08-23
202206,6,2022-02-06,2022-02-12,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,00_04,0.02,2025-02-08
201618,18,2016-05-01,2016-05-07,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.05,2025-05-03
202337,37,2023-09-10,2023-09-16,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.11,2025-09-13
202045,45,2020-11-01,2020-11-07,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,45_64,0.02,2024-11-09
202350,50,2023-12-10,2023-12-16,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.03,2024-12-14
202009,9,2020-02-23,2020-02-29,2019-2020,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.03,2025-03-01
201601,1,2016-01-03,2016-01-09,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,00_04,0.23,2025-01-04
201831,31,2018-07-29,2018-08-04,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.08,2025-08-02
202429,29,2024-07-14,2024-07-20,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,65+,0.17,2025-07-19
202419,19,2024-05-05,2024-05-11,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-05-10
201605,5,2016-01-31,2016-02-06,2015-2016,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.01,2025-02-01
202330,30,2023-07-23,2023-07-29,2022-2023,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-07-26
201944,44,2019-10-27,2019-11-02,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.07,2024-11-02
202304,4,2023-01-22,2023-01-28,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,00_04,0.01,2025-01-25
202142,42,2021-10-17,2021-10-23,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.07,2024-10-19
202329,29,2023-07-16,2023-07-22,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.07,2025-07-19
202150,50,2021-12-12,2021-12-18,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.09,2024-12-14
202430,30,2024-07-21,2024-07-27,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Black Non-Hispanic,0.13,2025-07-26
202410,10,2024-03-03,2024-03-09,2023-2024,Essence,Influenza-Like Illness,Ili,Ed Visits,All,All,0.02,2025-03-08
202244,44,2022-10-30,2022-11-05,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.02,2024-11-02
202111,11,2021-03-14,2021-03-20,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.1,2025-03-15
202350,50,2023-12-10,2023-12-16,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,00_04,0.01,2024-12-14
201935,35,2019-08-25,2019-08-31,2018-2019,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2025-08-30
202244,44,2022-10-30,2022-11-05,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.15,2024-11-02
201741,41,2017-10-08,2017-10-14,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.07,2024-10-12
202403,3,2024-01-14,2024-01-20,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.03,2025-01-18
202438,38,2024-09-15,2024-09-21,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,65+,0.02,2025-09-20
202402,2,2024-01-07,2024-01-13,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.04,2025-01-11
202030,30,2020-07-19,2020-07-25,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.01,2025-07-26
201627,27,2016-07-03,2016-07-09,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,00_04,0.15,2025-07-05
202412,12,2024-03-17,2024-03-23,2023-2024,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.13,2025-03-22
201547,47,2015-11-22,2015-11-28,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.07,2024-11-23
202123,23,2021-06-06,2021-06-12,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,18_44,0.05,2025-06-07
202026,26,2020-06-21,2020-06-27,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,All,All,0.13,2025-06-28
202004,4,2020-01-19,2020-01-25,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.18,2025-01-25
201733,33,2017-08-13,2017-08-19,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.05,2025-08-16
202419,19,2024-05-05,2024-05-11,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,65+,0.01,2025-05-10
202205,5,2022-01-30,2022-02-05,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.12,2025-02-01
201649,49,2016-12-04,2016-12-10,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.09,2024-12-07
202139,39,2021-09-26,2021-10-02,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.02,2025-09-27
201701,1,2017-01-01,2017-01-07,2016-2017,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.02,2025-01-04
202026,26,2020-06-21,2020-06-27,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Hispanic Or Latino,0.04,2025-06-28
201607,7,2016-02-14,2016-02-20,2015-2016,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,05_17,0.01,2025-02-15
202408,8,2024-02-18,2024-02-24,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,05_17,0.01,2025-02-22
202334,34,2023-08-20,2023-08-26,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.04,2025-08-23
202221,21,2022-05-22,2022-05-28,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.01,2025-05-24
202008,8,2020-02-16,2020-02-22,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.13,2025-02-22
202309,9,2023-02-26,2023-03-04,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Black Non-Hispanic,0.03,2025-03-01
201743,43,2017-10-22,2017-10-28,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.08,2024-10-26
202231,31,2022-07-31,2022-08-06,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.1,2025-08-02
202428,28,2024-07-07,2024-07-13,2023-2024,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-07-12
202322,22,2023-05-28,2023-06-03,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.11,2025-05-31
202203,3,2022-01-16,2022-01-22,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,05_17,0.14,2025-01-18
202134,34,2021-08-22,2021-08-28,2020-2021,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.05,2025-08-23
202207,7,2022-02-13,2022-02-19,2021-2022,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.01,2025-02-15
202016,16,2020-04-12,2020-04-18,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.26,2025-04-19
201546,46,2015-11-15,2015-11-21,2015-2016,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Hispanic Or Latino,0.09,2024-11-16
201830,30,2018-07-22,2018-07-28,2017-2018,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.07,2025-07-26
202405,5,2024-01-28,2024-02-03,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2025-02-01
201946,46,2019-11-10,2019-11-16,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.07,2024-11-16
202012,12,2020-03-15,2020-03-21,2019-2020,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Hispanic Or Latino,0.03,2025-03-22
201714,14,2017-04-02,2017-04-08,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.12,2025-04-05
202244,44,2022-10-30,2022-11-05,2022-2023,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,65+,0.01,2024-11-02
201940,40,2019-09-29,2019-10-05,2019-2020,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.05,2024-10-05
202312,12,2023-03-19,2023-03-25,2022-2023,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2025-03-22
202249,49,2022-12-04,2022-12-10,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.05,2024-12-07
202223,23,2022-06-05,2022-06-11,2021-2022,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2025-06-07
202127,27,2021-07-04,2021-07-10,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,All,All,0.11,2025-07-05
202413,13,2024-03-24,2024-03-30,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,18_44,0.02,2025-03-29
201707,7,2017-02-12,2017-02-18,2016-2017,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.08,2025-02-15
202411,11,2024-03-10,2024-03-16,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.01,2025-03-15
202241,41,2022-10-09,2022-10-15,2022-2023,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,05_17,0.01,2024-10-12
201834,34,2018-08-19,2018-08-25,2017-2018,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.02,2025-08-23
202310,10,2023-03-05,2023-03-11,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Hispanic Or Latino,0.13,2025-03-08
202031,31,2020-07-26,2020-08-01,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Black Non-Hispanic,0.02,2025-08-02
201642,42,2016-10-16,2016-10-22,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,65+,0.05,2024-10-19
201641,41,2016-10-09,2016-10-15,2016-2017,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-10-12
202408,8,2024-02-18,2024-02-24,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Ed Visits,Age Group,45_64,0.01,2025-02-22
202142,42,2021-10-17,2021-10-23,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,18_44,0.06,2024-10-19
201902,2,2019-01-06,2019-01-12,2018-2019,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Ed Visits,Age Group,00_04,0.04,2025-01-11
202151,51,2021-12-19,2021-12-25,2021-2022,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Unknown Race/Ethnicity,0.11,2024-12-21
202222,22,2022-05-29,2022-06-04,2021-2022,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,00_04,0.07,2025-05-31
202344,44,2023-10-29,2023-11-04,2023-2024,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,All,All,0.02,2024-11-02
202401,1,2023-12-31,2024-01-06,2023-2024,Essence,Influenza-Like Illness,Ili,Admissions,All,All,0.01,2025-01-04
202024,24,2020-06-07,2020-06-13,2019-2020,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2025-06-14
201729,29,2017-07-16,2017-07-22,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,45_64,0.03,2025-07-19
202402,2,2024-01-07,2024-01-13,2023-2024,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Hispanic Or Latino,0.02,2025-01-11
201644,44,2016-10-30,2016-11-05,2016-2017,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.1,2024-11-02
202118,18,2021-05-02,2021-05-08,2020-2021,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,All,All,0.1,2025-05-03
202306,6,2023-02-05,2023-02-11,2022-2023,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Unknown Race/Ethnicity,0.09,2025-02-08
202251,51,2022-12-18,2022-12-24,2022-2023,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Black Non-Hispanic,0.03,2024-12-21
202116,16,2021-04-18,2021-04-24,2020-2021,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.01,2025-04-19
201952,52,2019-12-22,2019-12-28,2019-2020,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,White Non-Hispanic,0.04,2024-12-28
